species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	PECAM1	Endothelial cells	CD31	0.051	platelet and endothelial cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0.798077	0.910156	0.0187824	0.00911116
Mm Hs	ICAM1	Endothelial cells	CD54	0.009	intercellular adhesion molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0.0865385	0.0768229	0.00323834	0.00654653
Mm Hs	ITGB3	Endothelial cells	CD61|GPIIIa|GP3A	0.001	integrin subunit beta 3	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.000323834	0.00128231
Mm Hs	SELE	Endothelial cells	ESEL|CD62E|ELAM1|ELAM	0.001	selectin E	protein-coding gene	1	Mesoderm	Vasculature	0.105769	0	0.00194301	0
Mm Hs	VCAM1	Endothelial cells	CD106	0.041	vascular cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.00744819	0
Mm Hs	MCAM	Endothelial cells	MUC18|CD146	0.031	melanoma cell adhesion molecule	protein-coding gene	1	Mesoderm	Vasculature	0.278846	0.184896	0.0126295	0.0258487
Mm Hs	PROCR	Endothelial cells	EPCR|CCD41|CD201	0.016	protein C receptor	protein-coding gene	1	Mesoderm	Vasculature	0.240385	0.0638021	0.0213731	0.0101235
Mm Hs	TEK	Endothelial cells	TIE2|TIE-2|VMCM1|CD202b|VMCM	0.02	TEK receptor tyrosine kinase	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0	0.000323834	0
Mm Hs	FLT4	Endothelial cells	VEGFR3	0.007	fms related tyrosine kinase 4	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.154948	0.000647668	0.00033745
Mm Hs	APLN	Endothelial cells	apelin|XNPEP2	0.015	apelin	protein-coding gene	1	Mesoderm	Vasculature	0.25	0.207031	0.00453368	0.00593912
Mm Hs	VWF	Endothelial cells	F8VWF	0.016	von Willebrand factor	protein-coding gene	1	Mesoderm	Vasculature	0.711538	0	0.00356218	0
Mm Hs	NOS3	Endothelial cells	ECNOS|eNOS	0.003	nitric oxide synthase 3	protein-coding gene	1	Mesoderm	Vasculature	0	0.0377604	0.00744819	0.00060741
Mm Hs	THBD	Endothelial cells	CD141	0.022	thrombomodulin	protein-coding gene	1	Mesoderm	Vasculature	0.259615	0	0.00485751	0
Mm Hs	PLVAP	Endothelial cells	gp68|PV-1|PV1|FELS	0.026	plasmalemma vesicle associated protein	protein-coding gene	1	Mesoderm	Vasculature	0.394231	0.338542	0.00485751	0.0121482
Mm Hs	ACKR1	Endothelial cells	CCBP1|GPD|Dfy|CD234|FY|DARC	0.008	atypical chemokine receptor 1 (Duffy blood group)	protein-coding gene	1	Mesoderm	Vasculature	0.201923	0.0729167	0.00582902	0.0040494
Mm Hs	SLCO1C1	Endothelial cells	OATP-F|OATP1C1|OATP1|SLC21A14	0.032	solute carrier organic anion transporter family member 1C1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0	0
