feature,importance,normalized_importance
Bretigea_1_Microglia,0.105344231,0.52995642
Bretigea_1_Astrocyte,0.101190238,0.488299495
Bretigea_1_Oligodendrocyte,0.059798286,0.442906301
Bretigea_1_Endothelial,0.054660831,0.325552163
PanglaoDB_1_Endothelial,0.047365169,0.282100234
HumanProteinAtlas.Sc_1_Neuron,0.043544331,0.252642192
CellMarker_1_Astrocyte,0.040819327,0.196976084
CellMarker_1_Oligodendrocyte,0.032590162,0.241384646
HumanProteinAtlas.Sc_2_Neuron,0.030488439,0.176892511
HumanProteinAtlas.IHC_1_Neuron,0.028815387,0.167185541
HumanProteinAtlas.Sc_1_Microglia,0.027871681,0.140214382
PanglaoDB_2_OPC,0.026462154,0.265032391
HumanProteinAtlas.Sc_2_Microglia,0.026314308,0.132379688
HumanProteinAtlas.Sc_1_OPC,0.025928987,0.259692443
HumanProteinAtlas.IHC_1_Endothelial,0.025586259,0.152388133
HumanProteinAtlas.Sc_1_Astrocyte,0.019222878,0.092761138
CellMarker_1_Microglia,0.019123491,0.096204763
PanglaoDB_1_Astrocyte,0.019085656,0.092098965
HumanProteinAtlas.IHC_2_Neuron,0.018856195,0.10940277
HumanProteinAtlas.Sc_2_Oligodendrocyte,0.018431641,0.136517122
Bretigea_1_Neuron,0.017137699,0.099432136
HumanProteinAtlas.Sc_2_OPC,0.016683335,0.167092375
CellMarker_1_Endothelial,0.014364053,0.085550264
CellMarker_1_Neuron,0.014273394,0.082813571
CellMarker_2_Microglia,0.01349184,0.067873553
CellMarker_1_OPC,0.011992973,0.120115933
PanglaoDB_2_Endothelial,0.011762679,0.070056849
PanglaoDB_2_Astrocyte,0.011568765,0.055825762
HumanProteinAtlas.Sc_2_Astrocyte,0.011105883,0.053592097
PanglaoDB_1_Neuron,0.010954554,0.063557815
HumanProteinAtlas.IHC_2_Endothelial,0.010610705,0.063195855
PanglaoDB_1_Oligodendrocyte,0.01048671,0.077671623
Bretigea_1_OPC,0.007240003,0.072512438
PanglaoDB_1_OPC,0.006993589,0.070044472
HumanProteinAtlas.Sc_1_Oligodendrocyte,0.006961914,0.051564615
Bretigea_2_Oligodendrocyte,0.006744688,0.049955693
CellMarker_2_Neuron,0.004304881,0.02497672
CellMarker_2_Astrocyte,0.004237117,0.020446459
PanglaoDB_2_Neuron,0.003980856,0.023096742
CellMarker_2_Endothelial,0.003552217,0.021156501
PanglaoDB_1_Microglia,0.003407766,0.017143487
PanglaoDB_2_Microglia,0.003225728,0.016227706
Bretigea_2_OPC,0.001509208,0.015115512
PanglaoDB_2_Oligodendrocyte,0,0
