"index","Ligand","Receptor","markers.x","Bretigea_1.x","Bretigea_2.x","CellMarker_1.x","CellMarker_2.x","PanglaoDB_1.x","PanglaoDB_2.x","HumanProteinAtlas_1.x","HumanProteinAtlas_2.x","cell_type_1.x","cell_type_2.x","Consensus.x","Score.x","markers.y","Bretigea_1.y","Bretigea_2.y","CellMarker_1.y","CellMarker_2.y","PanglaoDB_1.y","PanglaoDB_2.y","HumanProteinAtlas_1.y","HumanProteinAtlas_2.y","cell_type_1.y","cell_type_2.y","Consensus.y","Score.y","Combined","Interaction"
1,"VIP","VIPR1","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"VIPR1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","VIP_VIPR1"
2,"ADCYAP1","VIPR1","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"VIPR1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","ADCYAP1_VIPR1"
3,"VIP","VIPR2","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"VIPR2",NA,NA,"Neuron","Oligodendrocyte",NA,NA,"Endothelial",NA,"Neuron","Neuron","Neuron",0.52,"Neuron-Neuron","VIP_VIPR2"
4,"ADCYAP1","VIPR2","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"VIPR2",NA,NA,"Neuron","Oligodendrocyte",NA,NA,"Endothelial",NA,"Neuron","Neuron","Neuron",0.52,"Neuron-Neuron","ADCYAP1_VIPR2"
5,"NPY","NPY1R","NPY",NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.41,"NPY1R","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.29,"Neuron-Neuron","NPY_NPY1R"
8,"SST","SSTR1","SST","Neuron",NA,"Neuron","Neuron","Neuron","Neuron",NA,NA,"Neuron","Oligodendrocyte","Neuron",0.37,"SSTR1",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.28,"Neuron-Neuron","SST_SSTR1"
9,"CORT","SSTR1","CORT",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"SSTR1",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.28,"Neuron-Neuron","CORT_SSTR1"
10,"SST","SSTR2","SST","Neuron",NA,"Neuron","Neuron","Neuron","Neuron",NA,NA,"Neuron","Oligodendrocyte","Neuron",0.37,"SSTR2",NA,NA,"Astrocyte","Neuron","Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.5,"Neuron-Neuron","SST_SSTR2"
11,"CORT","SSTR2","CORT",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"SSTR2",NA,NA,"Astrocyte","Neuron","Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.5,"Neuron-Neuron","CORT_SSTR2"
12,"SST","SSTR3","SST","Neuron",NA,"Neuron","Neuron","Neuron","Neuron",NA,NA,"Neuron","Oligodendrocyte","Neuron",0.37,"SSTR3",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","SST_SSTR3"
13,"CORT","SSTR3","CORT",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"SSTR3",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","CORT_SSTR3"
18,"PENK","OPRM1","PENK","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"OPRM1","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Microglia","Neuron",0.33,"Neuron-Neuron","PENK_OPRM1"
19,"PDYN","OPRM1","PDYN","Neuron",NA,"Neuron",NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.48,"OPRM1","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Microglia","Neuron",0.33,"Neuron-Neuron","PDYN_OPRM1"
20,"TAC3","TACR3","TAC3","Neuron",NA,"Neuron","Neuron",NA,NA,"Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.4,"TACR3","Oligodendrocyte",NA,NA,NA,NA,NA,NA,NA,"Oligodendrocyte","Neuron","Oligodendrocyte",0.14,"Neuron-Oligodendrocyte","TAC3_TACR3"
